room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10285035,37686409,Entire home/apt,,4,4,2.5,4,1,169,1,21.28482,-157.838516,31:48.0
6992581,36178292,Entire home/apt,,4,0,,5,1,145,3,21.273993,-157.822198,31:44.6
519979,958466,Entire home/apt,,2,1,5,,4,295,7,21.651223,-158.05405,31:38.7
6750341,34946956,Entire home/apt,,4,1,4,2,1,120,2,21.276941,-157.824634,31:32.8
1014157,361961,Entire home/apt,,1,32,5,4,1,135,7,21.458306,-158.201616,31:30.4
4765796,12622337,Entire home/apt,,4,18,4.5,3,1,142,2,21.273977,-157.821522,31:27.0
6704906,34946956,Entire home/apt,,4,4,4,2,1,125,2,21.276562,-157.825312,31:23.0
10863045,46105904,Entire home/apt,,4,0,,,5,3500,6,21.258159,-157.799253,31:18.7
4501654,6152329,Entire home/apt,,4,0,,,3,2600,5,21.279987,-157.83177,31:15.9
279191,1456277,Private room,,5,43,5,1,1,59,7,21.298334,-157.791634,31:13.3
2011032,9976338,Entire home/apt,,2,48,4.5,5,2,150,1,21.621632,-157.916457,31:10.0
8137288,42803266,Private room,,4,30,4.5,2,1,76,1,21.273754,-157.809411,31:07.7
5143849,25846886,Entire home/apt,,2,0,,,3,239,1,21.595986,-157.896342,31:01.0
7003169,36714186,Private room,,3,8,4,2,1,85,4,21.383528,-157.730159,30:59.2
7475910,26482762,Entire home/apt,,4,1,,2,1,119,2,21.285219,-157.830464,30:56.2
197959,965391,Entire home/apt,,4,57,4.5,4,0,145,4,21.288465,-157.841101,30:50.6
1352148,7338403,Entire home/apt,,2,39,4.5,,3,199,3,21.553221,-157.851558,30:38.4
2857689,1457947,Entire home/apt,,1,1,,2,1,139,10,21.461982,-158.212044,30:32.4
229954,1201408,Entire home/apt,,2,16,5,,3,499,5,21.606768,-157.90846,30:27.9
1578534,8390288,Entire home/apt,,2,15,5,4,0,130,3,21.650679,-158.051225,30:23.6
7828257,21302839,Entire home/apt,,4,18,5,4,1,180,1,21.275775,-157.820974,30:14.4
5673582,29417584,Private room,,3,4,4.5,2,1,103,2,21.394068,-157.733337,30:04.6
4758288,9797360,Entire home/apt,,4,14,5,,2,215,3,21.278043,-157.822727,30:01.6
1661603,8804372,Entire home/apt,,5,17,4,4,2,145,1,21.280678,-157.805398,29:55.1
23639,93320,Entire home/apt,,2,7,5,,3,435,5,21.639555,-158.062341,29:44.1
1129061,6194110,Entire home/apt,,4,18,4.5,3,0,135,2,21.285717,-157.838569,29:38.8
11090066,55024463,Entire home/apt,,4,0,,5,2,239,1,21.2891,-157.756603,29:26.3
2710849,13874456,Entire home/apt,,2,61,4.5,2,0,100,2,21.681467,-158.028587,29:19.0
8685215,26591491,Entire home/apt,,4,0,,2,0,145,3,21.282421,-157.826416,29:15.5
6562300,26932991,Entire home/apt,,4,52,5,2,0,119,1,21.280475,-157.826139,29:13.0
6613434,33123363,Private room,,5,11,4,2,1,69,1,21.297347,-157.842292,29:07.6
8798680,29653793,Private room,,4,29,5,2,1,98,2,21.27716,-157.810012,26:27.7
9095685,1191923,Entire home/apt,,2,0,,,5,795,4,21.61669,-158.088306,26:24.6
3882386,20072780,Entire home/apt,,4,12,4.5,4,1,140,7,21.280435,-157.826071,26:16.8
9776164,5002956,Private room,,4,1,5,1,1,69,1,21.296731,-157.704887,26:11.6
2326602,5424310,Entire home/apt,,8,54,5,3,1,108,3,21.390361,-157.941619,26:07.9
6556134,34288091,Entire home/apt,,1,2,5,,6,620,3,21.469203,-158.209228,26:02.7
6800601,34946956,Entire home/apt,,4,1,4,2,1,125,2,21.277878,-157.824887,25:57.8
10255334,52640172,Private room,,4,1,5,2,1,128,1,21.272619,-157.810899,25:44.2
